Clocks;Locations;Transitions;Time(s)
2;1;5;0.000186
2;1;6;0.000226
2;1;7;0.00024
2;1;8;0.000269
2;1;9;0.0003
2;1;10;0.000325
2;1;11;0.000344
2;1;12;0.000556
2;1;13;0.000627
2;1;14;0.00043
2;1;15;0.000509
2;2;1;7.5e-05
2;2;2;7.6e-05
2;2;3;0.000104
2;2;4;0.000116
2;2;5;0.000135
2;2;6;0.000132
2;2;7;0.000181
2;2;8;0.000161
2;2;9;0.000189
2;2;10;0.000197
2;2;11;0.000226
2;2;12;0.000222
2;2;13;0.000244
2;2;14;0.000251
2;2;15;0.000351
2;3;1;7.7e-05
2;3;2;9.1e-05
2;3;3;8.2e-05
2;3;4;0.00017
2;3;5;0.000106
2;3;6;0.000105
2;3;7;0.000134
2;3;8;0.000136
2;3;9;0.000135
2;3;10;0.000164
2;3;11;0.000163
2;3;12;0.000191
2;3;13;0.000192
2;3;14;0.000193
2;3;15;0.000193
2;4;1;7.6e-05
2;4;2;7.5e-05
2;4;3;7.7e-05
2;4;4;7.8e-05
2;4;5;0.000104
2;4;6;0.000105
2;4;7;0.000105
2;4;8;0.000107
2;4;9;0.000137
2;4;10;0.000138
2;4;11;0.000137
2;4;12;0.000138
2;4;13;0.000165
2;4;14;0.000167
2;4;15;0.000167
2;5;1;7.6e-05
2;5;2;7.6e-05
2;5;3;7.8e-05
2;5;4;7.8e-05
2;5;5;7.8e-05
2;5;6;0.000104
2;5;7;0.000105
2;5;8;0.000108
2;5;9;0.000163
2;5;10;0.000108
2;5;11;0.00014
2;5;12;0.000139
2;5;13;0.000139
2;5;14;0.00014
2;5;15;0.00014
2;6;1;7.8e-05
2;6;2;7.6e-05
2;6;3;7.8e-05
2;6;4;7.7e-05
2;6;5;7.7e-05
2;6;6;7.9e-05
2;6;7;0.000106
2;6;8;0.000107
2;6;9;0.000107
2;6;10;0.000108
2;6;11;0.000108
2;6;12;0.000111
2;6;13;0.00014
2;6;14;0.000193
2;6;15;0.000142
2;7;1;7.6e-05
2;7;2;8e-05
2;7;3;7.7e-05
2;7;4;7.8e-05
2;7;5;7.8e-05
2;7;6;0.000128
2;7;7;8.1e-05
2;7;8;0.000106
2;7;9;0.000107
2;7;10;0.000108
2;7;11;0.000111
2;7;12;0.000109
2;7;13;0.000111
2;7;14;0.000111
2;7;15;0.000162
2;8;1;7.7e-05
2;8;2;8.4e-05
2;8;3;7.7e-05
2;8;4;9.6e-05
2;8;5;9e-05
2;8;6;8e-05
2;8;7;8e-05
2;8;8;8.2e-05
2;8;9;0.000108
2;8;10;0.000107
2;8;11;0.000109
2;8;12;0.00011
2;8;13;0.00015
2;8;14;0.000132
2;8;15;0.000115
2;9;1;7.6e-05
2;9;2;7.6e-05
2;9;3;7.6e-05
2;9;4;7.8e-05
2;9;5;0.000108
2;9;6;8e-05
2;9;7;7.9e-05
