Clocks;Locations;Transitions;Time(s)
2;1;11;6.3e-05
2;1;12;6.6e-05
2;1;13;7.2e-05
2;1;14;7.5e-05
2;1;15;8.7e-05
2;2;1;5e-06
2;2;2;2e-05
2;2;3;2.6e-05
2;2;4;3.2e-05
2;2;5;3.8e-05
2;2;6;4.3e-05
2;2;7;4.8e-05
2;2;8;5.3e-05
2;2;9;6e-05
2;2;10;6.6e-05
2;2;11;7e-05
2;2;12;7.5e-05
2;2;13;7.9e-05
2;2;14;8.4e-05
2;2;15;8.9e-05
2;3;1;5e-06
2;3;2;6e-06
2;3;3;3.2e-05
2;3;4;3.7e-05
2;3;5;4.3e-05
2;3;6;4.8e-05
2;3;7;5.4e-05
2;3;8;6e-05
2;3;9;6.6e-05
2;3;10;7.3e-05
2;3;11;7.8e-05
2;3;12;8.2e-05
2;3;13;8.9e-05
2;3;14;9.5e-05
2;3;15;0.0001
2;4;1;5e-06
2;4;2;5e-06
2;4;3;6e-06
2;4;4;4.2e-05
2;4;5;4.8e-05
2;4;6;5.4e-05
2;4;7;5.9e-05
2;4;8;6.5e-05
2;4;9;7.2e-05
2;4;10;7.9e-05
2;4;11;8.4e-05
2;4;12;8.9e-05
2;4;13;9.5e-05
2;4;14;0.000102
2;4;15;0.000106
2;5;1;5e-06
2;5;2;5e-06
2;5;3;5e-06
2;5;4;6e-06
2;5;5;5.4e-05
2;5;6;6e-05
2;5;7;6.5e-05
2;5;8;7.1e-05
2;5;9;7.9e-05
2;5;10;8.6e-05
2;5;11;9.1e-05
2;5;12;9.7e-05
2;5;13;0.000102
2;5;14;0.000109
2;5;15;0.000114
2;6;1;6e-06
2;6;2;6e-06
2;6;3;6e-06
2;6;4;5e-06
2;6;5;6e-06
2;6;6;6.5e-05
2;6;7;7.1e-05
2;6;8;7.6e-05
2;6;9;8.4e-05
2;6;10;8.9e-05
2;6;11;9.5e-05
2;6;12;0.000101
2;6;13;0.000109
2;6;14;0.000115
2;6;15;0.000122
2;7;1;5e-06
2;7;2;5e-06
2;7;3;6e-06
2;7;4;6e-06
2;7;5;6e-06
2;7;6;6e-06
2;7;7;7.7e-05
2;7;8;8.3e-05
2;7;9;9.1e-05
2;7;10;9.7e-05
2;7;11;0.000104
2;7;12;0.000114
2;7;13;0.000116
2;7;14;0.000122
2;7;15;0.000128
2;8;1;6e-06
2;8;2;5e-06
2;8;3;5e-06
2;8;4;6e-06
2;8;5;6e-06
2;8;6;6e-06
2;8;7;6e-06
2;8;8;9e-05
2;8;9;9.7e-05
2;8;10;0.000103
2;8;11;0.000109
2;8;12;0.000116
2;8;13;0.000122
2;8;14;0.000128
2;8;15;0.000134
2;9;1;5e-06
2;9;2;5e-06
2;9;3;6e-06
2;9;4;5e-06
2;9;5;6e-06
2;9;6;6e-06
2;9;7;6e-06
2;9;8;7e-06
2;9;9;0.000104
2;9;10;0.00011
2;9;11;0.000117
2;9;12;0.000124
2;9;13;0.000129
2;9;14;0.000136
2;9;15;0.000143
2;10;1;5e-06
2;10;2;6e-06
2;10;3;5e-06
2;10;4;5e-06
2;10;5;5e-06
2;10;6;6e-06
2;10;7;6e-06
2;10;8;6e-06
2;10;9;6e-06
2;10;10;0.000116
2;10;11;0.000122
2;10;12;0.000129
