Clocks;Locations;Transitions;Time(s)
2;2;13;0.000519
2;2;14;0.000514
2;2;15;0.000583
2;3;1;0.000151
2;3;2;0.000152
2;3;3;0.000154
2;3;4;0.000213
2;3;5;0.000215
2;3;6;0.000216
2;3;7;0.000278
2;3;8;0.00028
2;3;9;0.000282
2;3;10;0.00034
2;3;11;0.000341
2;3;12;0.000343
2;3;13;0.000405
2;3;14;0.000422
2;3;15;0.000408
2;4;1;0.00015
2;4;2;0.000151
2;4;3;0.000153
2;4;4;0.000154
2;4;5;0.000213
2;4;6;0.000216
2;4;7;0.000217
2;4;8;0.00022
2;4;9;0.000282
2;4;10;0.000284
2;4;11;0.000284
2;4;12;0.000287
2;4;13;0.000346
2;4;14;0.000347
2;4;15;0.000349
2;5;1;0.00015
2;5;2;0.000151
2;5;3;0.000154
2;5;4;0.000154
2;5;5;0.000156
2;5;6;0.000217
2;5;7;0.000217
2;5;8;0.000219
2;5;9;0.000221
2;5;10;0.000222
2;5;11;0.000283
2;5;12;0.000287
2;5;13;0.000288
2;5;14;0.000289
2;5;15;0.000292
2;6;1;0.000149
2;6;2;0.000151
2;6;3;0.000155
2;6;4;0.000223
2;6;5;0.000159
2;6;6;0.000158
2;6;7;0.000217
2;6;8;0.000219
2;6;9;0.000224
2;6;10;0.000757
2;6;11;0.000233
2;6;12;0.000678
2;6;13;0.000518
2;6;14;0.00036
2;6;15;0.000294
2;7;1;0.000151
2;7;2;0.000153
2;7;3;0.000154
2;7;4;0.000155
2;7;5;0.000217
2;7;6;0.000158
2;7;7;0.000162
2;7;8;0.00024
2;7;9;0.000336
2;7;10;0.00072
2;7;11;0.000228
2;7;12;0.000409
2;7;13;0.000231
2;7;14;0.000229
2;7;15;0.000296
2;8;1;0.00015
2;8;2;0.000151
2;8;3;0.000153
2;8;4;0.000156
2;8;5;0.000155
2;8;6;0.000176
2;8;7;0.000162
2;8;8;0.000162
2;8;9;0.000224
2;8;10;0.000339
2;8;11;0.000225
2;8;12;0.000227
2;8;13;0.000425
2;8;14;0.000233
2;8;15;0.000231
2;9;1;0.00022
2;9;2;0.000152
2;9;3;0.000153
2;9;4;0.000155
2;9;5;0.000156
2;9;6;0.000157
2;9;7;0.000211
2;9;8;0.000617
2;9;9;0.000163
2;9;10;0.000224
2;9;11;0.000226
2;9;12;0.000228
2;9;13;0.000231
2;9;14;0.000232
2;9;15;0.000237
2;10;1;0.000159
2;10;2;0.000154
2;10;3;0.000154
2;10;4;0.000156
2;10;5;0.000158
2;10;6;0.000388
2;10;7;0.000263
2;10;8;0.000164
2;10;9;0.000191
2;10;10;0.000167
2;10;11;0.000232
2;10;12;0.000228
2;10;13;0.000232
2;10;14;0.00023
2;10;15;0.000231
2;11;1;0.000151
2;11;2;0.000153
2;11;3;0.000155
2;11;4;0.000154
2;11;5;0.000156
2;11;6;0.000157
2;11;7;0.000164
2;11;8;0.000162
2;11;9;0.000163
2;11;10;0.000164
2;11;11;0.000165
2;11;12;0.000226
2;11;13;0.000227
2;11;14;0.000228
2;11;15;0.00023
2;12;1;0.000149
2;12;2;0.000151
2;12;3;0.000153
2;12;4;0.000155
2;12;5;0.000156
2;12;6;0.000158
2;12;7;0.000159
2;12;8;0.000161
2;12;9;0.000162
2;12;10;0.000164
2;12;11;0.000165
2;12;12;0.000167
2;12;13;0.000227
2;12;14;0.000229
2;12;15;0.00023
2;13;1;0.00015
2;13;2;0.00015
2;13;3;0.000153
2;13;4;0.000155
2;13;5;0.000156
2;13;6;0.000157
2;13;7;0.000159
2;13;8;0.000162
2;13;9;0.000162
2;13;10;0.000164
2;13;11;0.000167
2;13;12;0.000168
2;13;13;0.000177
2;13;14;0.000231
2;13;15;0.000233
2;14;1;0.00015
2;14;2;0.000152
2;14;3;0.000153
2;14;4;0.000155
2;14;5;0.000157
2;14;6;0.00016
2;14;7;0.000159
2;14;8;0.000161
2;14;9;0.00017
2;14;10;0.000164
2;14;11;0.000166
2;14;12;0.000167
2;14;13;0.000168
2;14;14;0.000169
2;14;15;0.000233
2;15;1;0.000149
2;15;2;0.000157
2;15;3;0.000153
2;15;4;0.000154
2;15;5;0.000155
2;15;6;0.000158
2;15;7;0.000159
2;15;8;0.00016
2;15;9;0.000161
2;15;10;0.000163
2;15;11;0.000165
2;15;12;0.000166
2;15;13;0.000168
2;15;14;0.000169
2;15;15;0.000171
3;1;1;0.000185
3;1;2;0.000256
3;1;3;0.000333
3;1;4;0.000402
3;1;5;0.000483
3;1;6;0.000554
