Clocks,Locations,Transitions,Time(s)
2,2,13,0.000515
2,2,14,0.000517
2,2,15,0.000581
2,3,1,0.000149
2,3,2,0.000151
2,3,3,0.000152
2,3,4,0.000212
2,3,5,0.000214
2,3,6,0.000215
2,3,7,0.000277
2,3,8,0.000278
2,3,9,0.00028
2,3,10,0.000338
2,3,11,0.000339
2,3,12,0.000341
2,3,13,0.000407
2,3,14,0.000406
2,3,15,0.000407
2,4,1,0.00015
2,4,2,0.000152
2,4,3,0.000153
2,4,4,0.000154
2,4,5,0.000213
2,4,6,0.000215
2,4,7,0.000217
2,4,8,0.000243
2,4,9,0.000307
2,4,10,0.000284
2,4,11,0.000285
2,4,12,0.000286
2,4,13,0.000349
2,4,14,0.000348
2,4,15,0.000346
2,5,1,0.000151
2,5,2,0.000152
2,5,3,0.000153
2,5,4,0.000155
2,5,5,0.000156
2,5,6,0.000217
2,5,7,0.000218
2,5,8,0.000218
2,5,9,0.00022
2,5,10,0.000222
2,5,11,0.000284
2,5,12,0.000286
2,5,13,0.000288
2,5,14,0.000289
2,5,15,0.00029
2,6,1,0.000151
2,6,2,0.000152
2,6,3,0.000153
2,6,4,0.000155
2,6,5,0.000156
2,6,6,0.000158
2,6,7,0.000219
2,6,8,0.000219
2,6,9,0.000219
2,6,10,0.000223
2,6,11,0.000223
2,6,12,0.000224
2,6,13,0.000288
2,6,14,0.000292
2,6,15,0.000291
2,7,1,0.00015
2,7,2,0.000152
2,7,3,0.000152
2,7,4,0.000154
2,7,5,0.000155
2,7,6,0.000156
2,7,7,0.000159
2,7,8,0.000219
2,7,9,0.000221
2,7,10,0.000221
2,7,11,0.000223
2,7,12,0.000225
2,7,13,0.000227
2,7,14,0.000228
2,7,15,0.00029
2,8,1,0.000151
2,8,2,0.000152
2,8,3,0.000152
2,8,4,0.000154
2,8,5,0.000156
2,8,6,0.000158
2,8,7,0.00016
2,8,8,0.00016
2,8,9,0.000428
2,8,10,0.000227
2,8,11,0.000275
2,8,12,0.000227
2,8,13,0.000251
2,8,14,0.000321
2,8,15,0.00024
2,9,1,0.000155
2,9,2,0.000283
2,9,3,0.000184
2,9,4,0.000244
2,9,5,0.000233
2,9,6,0.000163
2,9,7,0.000166
2,9,8,0.00016
2,9,9,0.000165
2,9,10,0.000224
2,9,11,0.00023
2,9,12,0.00023
2,9,13,0.000229
2,9,14,0.000228
2,9,15,0.000235
2,10,1,0.000153
2,10,2,0.000157
2,10,3,0.000155
2,10,4,0.000154
2,10,5,0.000156
2,10,6,0.000157
2,10,7,0.000158
2,10,8,0.000161
2,10,9,0.000162
2,10,10,0.000165
2,10,11,0.000226
2,10,12,0.000234
2,10,13,0.000235
2,10,14,0.000256
2,10,15,0.000269
2,11,1,0.000151
2,11,2,0.000156
2,11,3,0.000155
2,11,4,0.000155
2,11,5,0.000159
2,11,6,0.000158
2,11,7,0.000161
2,11,8,0.000164
2,11,9,0.000162
2,11,10,0.000166
2,11,11,0.000165
2,11,12,0.000227
2,11,13,0.000439
2,11,14,0.00025
2,11,15,0.000273
2,12,1,0.000154
2,12,2,0.000177
2,12,3,0.000161
2,12,4,0.000155
2,12,5,0.000156
2,12,6,0.000158
2,12,7,0.000158
2,12,8,0.000161
2,12,9,0.000169
2,12,10,0.000166
2,12,11,0.000165
2,12,12,0.000166
2,12,13,0.000397
2,12,14,0.00024
2,12,15,0.000238
2,13,1,0.000292
2,13,2,0.000153
2,13,3,0.000152
2,13,4,0.000154
2,13,5,0.000198
2,13,6,0.000157
2,13,7,0.000159
2,13,8,0.00016
2,13,9,0.000168
2,13,10,0.000163
2,13,11,0.000164
2,13,12,0.000166
2,13,13,0.000168
2,13,14,0.000229
2,13,15,0.000232
2,14,1,0.00015
2,14,2,0.000151
2,14,3,0.000153
2,14,4,0.000268
2,14,5,0.000155
2,14,6,0.000157
2,14,7,0.000199
2,14,8,0.000173
2,14,9,0.000162
2,14,10,0.000166
2,14,11,0.000166
2,14,12,0.000174
2,14,13,0.000169
2,14,14,0.000171
2,14,15,0.000241
2,15,1,0.000151
2,15,2,0.000184
2,15,3,0.000194
2,15,4,0.000166
2,15,5,0.000158
2,15,6,0.000164
2,15,7,0.000189
2,15,8,0.000161
2,15,9,0.000169
2,15,10,0.000164
2,15,11,0.000166
2,15,12,0.000176
2,15,13,0.000187
2,15,14,0.000169
2,15,15,0.000171
3,1,1,0.000284
3,1,2,0.00038
3,1,3,0.000335
3,1,4,0.000403
3,1,5,0.000544
3,1,6,0.000579
3,1,7,0.000618
3,1,8,0.000694
3,1,9,0.000825
3,1,10,0.000848
3,1,11,0.000976
3,1,12,0.000972
3,1,13,0.001063
3,1,14,0.001155
3,1,15,0.001159
3,2,1,0.000183
3,2,2,0.000184
3,2,3,0.000256
3,2,4,0.000257
3,2,5,0.000332
3,2,6,0.000345
3,2,7,0.000408
3,2,8,0.000408
3,2,9,0.00048
3,2,10,0.000483
3,2,11,0.000552
3,2,12,0.000559
3,2,13,0.000627
3,2,14,0.000626
3,2,15,0.000694
3,3,1,0.000183
3,3,2,0.000183
3,3,3,0.000184
3,3,4,0.000257
3,3,5,0.000258
3,3,6,0.000261
3,3,7,0.000335
3,3,8,0.000335
3,3,9,0.000338
3,3,10,0.00041
3,3,11,0.000405
3,3,12,0.000414
3,3,13,0.000489
3,3,14,0.000489
3,3,15,0.000491
3,4,1,0.000182
3,4,2,0.000184
3,4,3,0.000185
3,4,4,0.000186
3,4,5,0.000258
3,4,6,0.000259
3,4,7,0.00026
3,4,8,0.000263
3,4,9,0.000338
3,4,10,0.000338
3,4,11,0.000341
3,4,12,0.000342
3,4,13,0.000415
3,4,14,0.000416
3,4,15,0.000418
3,5,1,0.000181
3,5,2,0.000186
3,5,3,0.000184
3,5,4,0.000186
3,5,5,0.000183
3,5,6,0.000255
3,5,7,0.000255
3,5,8,0.000258
3,5,9,0.000258
3,5,10,0.000265
3,5,11,0.000353
3,5,12,0.000344
3,5,13,0.000356
3,5,14,0.00038
3,5,15,0.000353
3,6,1,0.000183
3,6,2,0.000184
3,6,3,0.000186
3,6,4,0.000187
3,6,5,0.000189
3,6,6,0.00019
3,6,7,0.000264
3,6,8,0.000265
3,6,9,0.000267
3,6,10,0.000269
3,6,11,0.000272
3,6,12,0.000272
3,6,13,0.000346
3,6,14,0.000347
3,6,15,0.000348
3,7,1,0.000201
3,7,2,0.000186
3,7,3,0.000187
3,7,4,0.000187
3,7,5,0.000189
3,7,6,0.00019
3,7,7,0.000192
3,7,8,0.000265
3,7,9,0.000286
3,7,10,0.000269
3,7,11,0.00027
3,7,12,0.000271
3,7,13,0.000273
3,7,14,0.000276
3,7,15,0.000353
3,8,1,0.000186
3,8,2,0.000184
3,8,3,0.000186
3,8,4,0.000186
3,8,5,0.000188
3,8,6,0.00019
3,8,7,0.000193
3,8,8,0.000193
3,8,9,0.000275
3,8,10,0.000265
3,8,11,0.000278
3,8,12,0.000273
3,8,13,0.000274
3,8,14,0.000276
3,8,15,0.000273
3,9,1,0.000178
3,9,2,0.00018
3,9,3,0.000182
3,9,4,0.000184
3,9,5,0.000185
3,9,6,0.000193
3,9,7,0.000191
3,9,8,0.000221
3,9,9,0.000194
3,9,10,0.000276
3,9,11,0.000271
3,9,12,0.000272
3,9,13,0.000273
3,9,14,0.000275
3,9,15,0.000277
3,10,1,0.000183
3,10,2,0.000184
3,10,3,0.000186
3,10,4,0.000187
3,10,5,0.000188
3,10,6,0.000191
3,10,7,0.000192
3,10,8,0.000194
3,10,9,0.000195
3,10,10,0.000197
3,10,11,0.000276
3,10,12,0.000274
3,10,13,0.000274
3,10,14,0.000276
3,10,15,0.000277
3,11,1,0.00019
3,11,2,0.000184
3,11,3,0.000186
3,11,4,0.000187
3,11,5,0.000188
3,11,6,0.00019
3,11,7,0.000192
3,11,8,0.0002
3,11,9,0.000195
3,11,10,0.000196
3,11,11,0.000198
3,11,12,0.000272
3,11,13,0.000275
3,11,14,0.000278
3,11,15,0.000279
3,12,1,0.000183
3,12,2,0.000184
3,12,3,0.000187
3,12,4,0.000188
3,12,5,0.000188
3,12,6,0.000191
3,12,7,0.000209
3,12,8,0.000194
3,12,9,0.000194
3,12,10,0.000195
3,12,11,0.000198
3,12,12,0.000198
3,12,13,0.000273
3,12,14,0.000275
3,12,15,0.000274
3,13,1,0.000183
3,13,2,0.000183
3,13,3,0.000185
3,13,4,0.000186
3,13,5,0.000187
3,13,6,0.000189
3,13,7,0.000191
3,13,8,0.000192
3,13,9,0.000194
3,13,10,0.000195
3,13,11,0.000198
3,13,12,0.000198
3,13,13,0.000196
3,13,14,0.000267
