Clocks,Locations,Transitions,Time(s)
2,1,8,0.000267
2,1,9,0.000299
2,1,10,0.000321
2,1,11,0.000347
2,1,12,0.000366
2,1,13,0.000423
2,1,14,0.000429
2,1,15,0.000452
2,2,1,7.6e-05
2,2,2,7.7e-05
2,2,3,0.000102
2,2,4,0.000104
2,2,5,0.000136
2,2,6,0.000134
2,2,7,0.000159
2,2,8,0.000159
2,2,9,0.000189
2,2,10,0.000189
2,2,11,0.00022
2,2,12,0.000221
2,2,13,0.000244
2,2,14,0.000532
2,2,15,0.000282
2,3,1,0.000119
2,3,2,7.8e-05
2,3,3,8.3e-05
2,3,4,0.000106
2,3,5,0.000105
2,3,6,0.000105
2,3,7,0.000136
2,3,8,0.000135
2,3,9,0.000136
2,3,10,0.000163
2,3,11,0.000163
2,3,12,0.000163
2,3,13,0.000191
2,3,14,0.000193
2,3,15,0.000194
2,4,1,7.7e-05
2,4,2,7.6e-05
2,4,3,7.7e-05
2,4,4,7.8e-05
2,4,5,0.000105
2,4,6,0.000105
2,4,7,0.000106
2,4,8,0.000107
2,4,9,0.000136
2,4,10,0.000137
2,4,11,0.000138
2,4,12,0.000138
2,4,13,0.000165
2,4,14,0.000164
2,4,15,0.000166
2,5,1,7.6e-05
2,5,2,7.6e-05
2,5,3,7.7e-05
2,5,4,7.7e-05
2,5,5,7.9e-05
2,5,6,0.000105
2,5,7,0.000106
2,5,8,0.000107
2,5,9,0.000108
2,5,10,0.000108
2,5,11,0.000138
2,5,12,0.000139
2,5,13,0.000138
2,5,14,0.00014
2,5,15,0.00014
2,6,1,7.6e-05
2,6,2,7.7e-05
2,6,3,7.8e-05
2,6,4,7.7e-05
2,6,5,7.9e-05
2,6,6,7.9e-05
2,6,7,0.000106
2,6,8,0.000108
2,6,9,0.000107
2,6,10,0.000109
2,6,11,0.000109
2,6,12,0.000108
2,6,13,0.000137
2,6,14,0.000137
2,6,15,0.000138
2,7,1,7.4e-05
2,7,2,7.4e-05
2,7,3,7.5e-05
2,7,4,0.000103
2,7,5,7.8e-05
2,7,6,7.9e-05
2,7,7,8e-05
2,7,8,0.000112
2,7,9,0.000107
2,7,10,0.000108
2,7,11,0.000109
2,7,12,0.000118
2,7,13,0.000115
2,7,14,0.000112
2,7,15,0.000369
2,8,1,7.5e-05
2,8,2,7.7e-05
2,8,3,7.7e-05
2,8,4,7.8e-05
2,8,5,7.9e-05
2,8,6,7.9e-05
2,8,7,9.8e-05
2,8,8,8.9e-05
2,8,9,0.000108
2,8,10,0.000128
2,8,11,0.000129
2,8,12,0.000111
2,8,13,0.000112
2,8,14,0.000113
2,8,15,0.000112
2,9,1,7.5e-05
2,9,2,7.6e-05
2,9,3,7.7e-05
2,9,4,7.8e-05
2,9,5,7.9e-05
2,9,6,7.9e-05
2,9,7,8e-05
2,9,8,8e-05
2,9,9,8.1e-05
2,9,10,0.000109
2,9,11,0.000109
2,9,12,0.000107
2,9,13,0.000111
2,9,14,0.000112
